Identifier;Association
AQGJ-EGFM-ZPFF;Humane
AQZW-KMAQ-HJFL;Danone
AQCA-GKPU-KWUI;Humane
AQAI-SHKL-LSMM;Humane
AQNC-CPYY-WMAN;Danone
AQSN-UTGK-IPXA;Danone
AQOJ-UJAY-OCKL;Danone
AQBJ-IIYA-LBBE;Humane
AQHQ-BUDA-CZMX;Humane
AQQO-KIWJ-ESYZ;Danone
AQIT-GRRW-WCVF;Danone
AQAFCTCXCVLE;Humane
AQZSDRJJNPOF;Humane
AQWPWSQTCCJZ;Humane
AQFRTURQSSHF;Humane
AQXX-YWGU-MYJZ;Humane
AQIH-XWVW-AEMC;Humane
AQBSAGDGUFDJ;Humane
AQJJVHMATFVB;Danone
AQYVRPLGYNXA;Danone
AQQGGRDGFKON;Humane
AQLFLDRIWKFZ;Danone
AQMGPUBSFFYZ;Humane
AQKPIGDKTVAH;Danone
AQNOTBBHKNGM;Danone
